sample_id,read1,read2,group,species,original_group
LACi96C,./rawdata/Unknown_CP266-001T0071_1.fq.gz,./rawdata/Unknown_CP266-001T0071_2.fq.gz,LACi96,lolium,LACi96
LACi96A,./rawdata/Unknown_CP266-001T0072_1.fq.gz,./rawdata/Unknown_CP266-001T0072_2.fq.gz,LACi96,lolium,LACi96
ChLC96B,./rawdata/Unknown_CP266-001T0073_1.fq.gz,./rawdata/Unknown_CP266-001T0073_2.fq.gz,ChLC96,chlamy,ChLC96
ChLC96C,./rawdata/Unknown_CP266-001T0074_1.fq.gz,./rawdata/Unknown_CP266-001T0074_2.fq.gz,ChLC96,chlamy,ChLC96
ChLC96A,./rawdata/Unknown_CP266-001T0075_1.fq.gz,./rawdata/Unknown_CP266-001T0075_2.fq.gz,ChLC96,chlamy,ChLC96
ChLA96B,./rawdata/Unknown_CP266-001T0076_1.fq.gz,./rawdata/Unknown_CP266-001T0076_2.fq.gz,ChLA96,chlamy,ChLA96
ChLA96C,./rawdata/Unknown_CP266-001T0077_1.fq.gz,./rawdata/Unknown_CP266-001T0077_2.fq.gz,ChLA96,chlamy,ChLA96
ChLA96A,./rawdata/Unknown_CP266-001T0078_1.fq.gz,./rawdata/Unknown_CP266-001T0078_2.fq.gz,ChLA96,chlamy,ChLA96
ChLCi96B,./rawdata/Unknown_CP266-001T0079_1.fq.gz,./rawdata/Unknown_CP266-001T0079_2.fq.gz,ChLCi96,chlamy,ChLCi96
ChLCi96C,./rawdata/Unknown_CP266-001T0080_1.fq.gz,./rawdata/Unknown_CP266-001T0080_2.fq.gz,ChLCi96,chlamy,ChLCi96
ChLCi96A,./rawdata/Unknown_CP266-001T0081_1.fq.gz,./rawdata/Unknown_CP266-001T0081_2.fq.gz,ChLCi96,chlamy,ChLCi96
ChLACi96B,./rawdata/Unknown_CP266-001T0082_1.fq.gz,./rawdata/Unknown_CP266-001T0082_2.fq.gz,ChLACi96,chlamy,ChLACi96
ChLACi96C,./rawdata/Unknown_CP266-001T0083_1.fq.gz,./rawdata/Unknown_CP266-001T0083_2.fq.gz,ChLACi96,chlamy,ChLACi96
ChLACi96A,./rawdata/Unknown_CP266-001T0084_1.fq.gz,./rawdata/Unknown_CP266-001T0084_2.fq.gz,ChLACi96,chlamy,ChLACi96
LChC96B,./rawdata/Unknown_CP266-001T0085_1.fq.gz,./rawdata/Unknown_CP266-001T0085_2.fq.gz,LChC96,lolium,LChC96
LChC96C,./rawdata/Unknown_CP266-001T0086_1.fq.gz,./rawdata/Unknown_CP266-001T0086_2.fq.gz,LChC96,lolium,LChC96
LChC96A,./rawdata/Unknown_CP266-001T0087_1.fq.gz,./rawdata/Unknown_CP266-001T0087_2.fq.gz,LChC96,lolium,LChC96
LChA96B,./rawdata/Unknown_CP266-001T0088_1.fq.gz,./rawdata/Unknown_CP266-001T0088_2.fq.gz,LChA96,lolium,LChA96
LChA96C,./rawdata/Unknown_CP266-001T0089_1.fq.gz,./rawdata/Unknown_CP266-001T0089_2.fq.gz,LChA96,lolium,LChA96
LChA96A,./rawdata/Unknown_CP266-001T0090_1.fq.gz,./rawdata/Unknown_CP266-001T0090_2.fq.gz,LChA96,lolium,LChA96
LChCi96B,./rawdata/Unknown_CP266-001T0091_1.fq.gz,./rawdata/Unknown_CP266-001T0091_2.fq.gz,LChCi96,lolium,LChCi96
LChCi96C,./rawdata/Unknown_CP266-001T0092_1.fq.gz,./rawdata/Unknown_CP266-001T0092_2.fq.gz,LChCi96,lolium,LChCi96
LChCi96A,./rawdata/Unknown_CP266-001T0093_1.fq.gz,./rawdata/Unknown_CP266-001T0093_2.fq.gz,LChCi96,lolium,LChCi96
LChACi96B,./rawdata/Unknown_CP266-001T0094_1.fq.gz,./rawdata/Unknown_CP266-001T0094_2.fq.gz,LChACi96,lolium,LChACi96
LChACi96C,./rawdata/Unknown_CP266-001T0095_1.fq.gz,./rawdata/Unknown_CP266-001T0095_2.fq.gz,LChACi96,lolium,LChACi96
LChACi96A,./rawdata/Unknown_CP266-001T0096_1.fq.gz,./rawdata/Unknown_CP266-001T0096_2.fq.gz,LChACi96,lolium,LChACi96
