sample_id,read1,read2,group,species,original_group
ChCi96A,Unknown_CP266-001T0057_good_1.fq.gz,Unknown_CP266-001T0057_good_2.fq.gz,ChCi96,chlamy,ChCi96
ChACi96B,Unknown_CP266-001T0058_good_1.fq.gz,Unknown_CP266-001T0058_good_2.fq.gz,ChACi96,chlamy,ChACi96
ChACi96C,Unknown_CP266-001T0059_good_1.fq.gz,Unknown_CP266-001T0059_good_2.fq.gz,ChACi96,chlamy,ChACi96
ChACi96A,Unknown_CP266-001T0060_good_1.fq.gz,Unknown_CP266-001T0060_good_2.fq.gz,ChACi96,chlamy,ChACi96
LC96B,Unknown_CP266-001T0061_good_1.fq.gz,Unknown_CP266-001T0061_good_2.fq.gz,LC96,lolium,LC96
LC96C,Unknown_CP266-001T0062_good_1.fq.gz,Unknown_CP266-001T0062_good_2.fq.gz,LC96,lolium,LC96
LC96A,Unknown_CP266-001T0063_good_1.fq.gz,Unknown_CP266-001T0063_good_2.fq.gz,LC96,lolium,LC96
LA96B,Unknown_CP266-001T0064_good_1.fq.gz,Unknown_CP266-001T0064_good_2.fq.gz,LA96,lolium,LA96
LA96C,Unknown_CP266-001T0065_good_1.fq.gz,Unknown_CP266-001T0065_good_2.fq.gz,LA96,lolium,LA96
LA96A,Unknown_CP266-001T0066_good_1.fq.gz,Unknown_CP266-001T0066_good_2.fq.gz,LA96,lolium,LA96
LCi96B,Unknown_CP266-001T0067_good_1.fq.gz,Unknown_CP266-001T0067_good_2.fq.gz,LCi96,lolium,LCi96
LCi96C,Unknown_CP266-001T0068_good_1.fq.gz,Unknown_CP266-001T0068_good_2.fq.gz,LCi96,lolium,LCi96
LCi96A,Unknown_CP266-001T0069_good_1.fq.gz,Unknown_CP266-001T0069_good_2.fq.gz,LCi96,lolium,LCi96
LACi96B,Unknown_CP266-001T0070_good_1.fq.gz,Unknown_CP266-001T0070_good_2.fq.gz,LACi96,lolium,LACi96
LACi96C,Unknown_CP266-001T0071_good_1.fq.gz,Unknown_CP266-001T0071_good_2.fq.gz,LACi96,lolium,LACi96
LACi96A,Unknown_CP266-001T0072_good_1.fq.gz,Unknown_CP266-001T0072_good_2.fq.gz,LACi96,lolium,LACi96
ChLC96B,Unknown_CP266-001T0073_good_1.fq.gz,Unknown_CP266-001T0073_good_2.fq.gz,ChLC96,chlamy,ChLC96
ChLC96C,Unknown_CP266-001T0074_good_1.fq.gz,Unknown_CP266-001T0074_good_2.fq.gz,ChLC96,chlamy,ChLC96
ChLC96A,Unknown_CP266-001T0075_good_1.fq.gz,Unknown_CP266-001T0075_good_2.fq.gz,ChLC96,chlamy,ChLC96
ChLA96B,Unknown_CP266-001T0076_good_1.fq.gz,Unknown_CP266-001T0076_good_2.fq.gz,ChLA96,chlamy,ChLA96
ChLA96C,Unknown_CP266-001T0077_good_1.fq.gz,Unknown_CP266-001T0077_good_2.fq.gz,ChLA96,chlamy,ChLA96
ChLA96A,Unknown_CP266-001T0078_good_1.fq.gz,Unknown_CP266-001T0078_good_2.fq.gz,ChLA96,chlamy,ChLA96
ChLCi96B,Unknown_CP266-001T0079_good_1.fq.gz,Unknown_CP266-001T0079_good_2.fq.gz,ChLCi96,chlamy,ChLCi96
ChLCi96C,Unknown_CP266-001T0080_good_1.fq.gz,Unknown_CP266-001T0080_good_2.fq.gz,ChLCi96,chlamy,ChLCi96
ChLCi96A,Unknown_CP266-001T0081_good_1.fq.gz,Unknown_CP266-001T0081_good_2.fq.gz,ChLCi96,chlamy,ChLCi96
ChLACi96B,Unknown_CP266-001T0082_good_1.fq.gz,Unknown_CP266-001T0082_good_2.fq.gz,ChLACi96,chlamy,ChLACi96
ChLACi96C,Unknown_CP266-001T0083_good_1.fq.gz,Unknown_CP266-001T0083_good_2.fq.gz,ChLACi96,chlamy,ChLACi96
ChLACi96A,Unknown_CP266-001T0084_good_1.fq.gz,Unknown_CP266-001T0084_good_2.fq.gz,ChLACi96,chlamy,ChLACi96
LChC96B,Unknown_CP266-001T0085_good_1.fq.gz,Unknown_CP266-001T0085_good_2.fq.gz,LChC96,lolium,LChC96
LChC96C,Unknown_CP266-001T0086_good_1.fq.gz,Unknown_CP266-001T0086_good_2.fq.gz,LChC96,lolium,LChC96
LChC96A,Unknown_CP266-001T0087_good_1.fq.gz,Unknown_CP266-001T0087_good_2.fq.gz,LChC96,lolium,LChC96
LChA96B,Unknown_CP266-001T0088_good_1.fq.gz,Unknown_CP266-001T0088_good_2.fq.gz,LChA96,lolium,LChA96
LChA96C,Unknown_CP266-001T0089_good_1.fq.gz,Unknown_CP266-001T0089_good_2.fq.gz,LChA96,lolium,LChA96
LChA96A,Unknown_CP266-001T0090_good_1.fq.gz,Unknown_CP266-001T0090_good_2.fq.gz,LChA96,lolium,LChA96
LChCi96B,Unknown_CP266-001T0091_good_1.fq.gz,Unknown_CP266-001T0091_good_2.fq.gz,LChCi96,lolium,LChCi96
LChCi96C,Unknown_CP266-001T0092_good_1.fq.gz,Unknown_CP266-001T0092_good_2.fq.gz,LChCi96,lolium,LChCi96
LChCi96A,Unknown_CP266-001T0093_good_1.fq.gz,Unknown_CP266-001T0093_good_2.fq.gz,LChCi96,lolium,LChCi96
LChACi96B,Unknown_CP266-001T0094_good_1.fq.gz,Unknown_CP266-001T0094_good_2.fq.gz,LChACi96,lolium,LChACi96
LChACi96C,Unknown_CP266-001T0095_good_1.fq.gz,Unknown_CP266-001T0095_good_2.fq.gz,LChACi96,lolium,LChACi96
LChACi96A,Unknown_CP266-001T0096_good_1.fq.gz,Unknown_CP266-001T0096_good_2.fq.gz,LChACi96,lolium,LChACi96
